,지하철명,4시~5시,5시~6시,6시~7시,7시~8시,8시~9시,9시~10시,10시~11시,11시~12시,12시~13시,13시~14시,14시~15시,15시~16시,16시~17시,17시~18시,18시~19시,19시~20시,20시~21시,21시~22시,22시~23시,23시~24시,24시~1시,1시~2시,2시~3시,3시~4시,X좌표,Y좌표,_PARCEL_AD
416,서울숲,106.0,3123.0,10542.0,36961.0,67495.0,52352.0,33561.0,31644.0,33538.0,39097.0,40504.0,45909.0,51275.0,69165.0,85351.0,48649.0,29325.0,25336.0,19162.0,6757.0,935.0,0.0,0.0,0.0,127.044707,37.543617,서울특별시 성동구 성수동1가 656-436
417,압구정로데오,127.0,2970.0,15606.0,30731.0,85130.0,115801.0,65131.0,54702.0,52089.0,57286.0,58473.0,67080.0,81698.0,108019.0,144056.0,95283.0,66224.0,48602.0,37428.0,15813.0,1447.0,3.0,0.0,0.0,127.040534,37.527381,서울특별시 강남구 신사동 668-5
418,가천대,28.0,5987.0,10989.0,26473.0,64399.0,53217.0,39235.0,31489.0,45765.0,32088.0,41728.0,39485.0,47187.0,59786.0,46951.0,32858.0,24695.0,24020.0,22628.0,14650.0,1104.0,4.0,0.0,0.0,127.126697,37.448605,경기도 성남시 수정구 태평동 6989
419,태평,262.0,17076.0,26630.0,51725.0,82691.0,56377.0,35219.0,32299.0,35726.0,35178.0,35335.0,42189.0,47689.0,57801.0,67939.0,47017.0,32927.0,32919.0,25985.0,13117.0,1155.0,3.0,0.0,0.0,127.127709,37.440019,경기도 성남시 수정구 태평동 6989
420,야탑,110.0,10346.0,35486.0,99333.0,166535.0,104740.0,73324.0,69421.0,76067.0,78373.0,75443.0,86050.0,96192.0,127168.0,167949.0,98975.0,67578.0,56100.0,45831.0,22139.0,2612.0,0.0,0.0,0.0,127.128715,37.411185,경기도 성남시 분당구 야탑동 488-1
421,서현,327.0,8415.0,25971.0,76270.0,130333.0,104701.0,69544.0,64293.0,69520.0,72584.0,78159.0,80610.0,93238.0,120120.0,157069.0,96742.0,73540.0,60116.0,45922.0,20973.0,2313.0,0.0,0.0,0.0,127.123592,37.385126,경기도 성남시 분당구 서현동 263
422,수내,134.0,4449.0,17069.0,38800.0,86313.0,61220.0,37123.0,32756.0,35612.0,37948.0,40190.0,41734.0,47905.0,65750.0,83832.0,50354.0,37646.0,28513.0,23107.0,8945.0,1293.0,1.0,0.0,0.0,127.114322,37.378455,경기도 성남시 분당구 수내동 14
423,정자,287.0,4598.0,22675.0,70922.0,122633.0,75566.0,43835.0,39026.0,40176.0,43415.0,41758.0,47510.0,56632.0,98574.0,119809.0,74290.0,50952.0,49847.0,42710.0,20417.0,4176.0,0.0,0.0,0.0,127.108403,37.367098,경기도 성남시 분당구 정자동 100-3
424,미금,594.0,4331.0,23264.0,49686.0,81228.0,60326.0,44178.0,45575.0,48823.0,51334.0,51437.0,56847.0,61338.0,72138.0,83504.0,53773.0,39119.0,36260.0,28430.0,13364.0,2366.0,1.0,0.0,0.0,127.108918,37.349982,경기도 성남시 분당구 구미동 98-2
425,오리,747.0,4336.0,22489.0,46155.0,69959.0,42629.0,29223.0,27416.0,29502.0,28843.0,28614.0,30937.0,34730.0,46392.0,60474.0,35060.0,23471.0,21115.0,16233.0,8760.0,1918.0,1.0,0.0,0.0,127.108942,37.339824,경기도 성남시 분당구 구미동 197-1
