,지역,24시~1시,1시~2시,2시~3시,3시~4시,4시~5시,5시~6시,6시~7시,7시~8시,8시~9시,9시~10시,10시~11시,11시~12시,12시~13시,13시~14시,14시~15시,15시~16시,16시~17시,17시~18시,18시~19시,19시~20시,20시~21시,21시~22시,22시~23시,23시~24시,총합
13,서울 강동구 고덕동,38222.0,11316.0,3092.0,3764.0,44341.0,89821.0,244275.0,647447.0,698383.0,428302.0,364244.0,321214.0,346740.0,367130.0,350944.0,441781.0,544891.0,473899.0,518288.0,403989.0,268151.0,246237.0,222167.0,100249.0,7178887.0
14,서울 강동구 길동,61185.0,12994.0,7696.0,8320.0,39486.0,144819.0,290723.0,618209.0,772059.0,581019.0,450138.0,422519.0,465230.0,488808.0,474928.0,541052.0,620106.0,618603.0,715332.0,569476.0,400916.0,381681.0,390675.0,188271.0,9264245.0
15,서울 강동구 둔촌동,47072.0,1803.0,0.0,0.0,21865.0,85462.0,329255.0,805967.0,946673.0,571640.0,411252.0,360236.0,406658.0,415181.0,407298.0,479452.0,569909.0,620807.0,751797.0,573264.0,403984.0,380630.0,363306.0,169855.0,9123366.0
16,서울 강동구 명일동,129116.0,33826.0,12846.0,12082.0,60574.0,211519.0,474842.0,1306980.0,1416323.0,1030905.0,870640.0,843021.0,958553.0,978503.0,970876.0,1177498.0,1457030.0,1323531.0,1358699.0,1100932.0,810758.0,807588.0,766129.0,338848.0,18451619.0
17,서울 강동구 상일동,135612.0,41211.0,8008.0,8330.0,49572.0,196030.0,534067.0,1427088.0,1425633.0,893169.0,722218.0,715804.0,798843.0,840708.0,837206.0,1044693.0,1295229.0,1304856.0,1457946.0,1227978.0,852845.0,790933.0,796414.0,354845.0,17759238.0
18,서울 강동구 성내동,154964.0,21818.0,18076.0,11650.0,47121.0,292234.0,553523.0,1222882.0,1766436.0,1165567.0,867712.0,823092.0,887826.0,972127.0,982908.0,1115884.0,1321731.0,1529345.0,1922542.0,1355286.0,964733.0,911765.0,876383.0,446070.0,20231675.0
19,서울 강동구 암사동,123056.0,20169.0,5390.0,7964.0,60777.0,220062.0,678803.0,1742750.0,2053867.0,1353372.0,946315.0,879726.0,942630.0,983164.0,946392.0,1048923.0,1316827.0,1316698.0,1444148.0,1193314.0,835748.0,758448.0,740704.0,344745.0,19963992.0
20,서울 강동구 천호동,284850.0,62615.0,40374.0,20712.0,81041.0,423486.0,808143.0,1624261.0,2135146.0,1589820.0,1305751.0,1302057.0,1385164.0,1519477.0,1516604.0,1749633.0,2053540.0,2195595.0,2473509.0,2070682.0,1530747.0,1405738.0,1223963.0,780546.0,29583454.0
21,서울 강북구 미아동,126769.0,50230.0,12972.0,9858.0,213969.0,370902.0,514587.0,906380.0,1450008.0,1104000.0,948266.0,1094081.0,1136650.0,1147146.0,1260009.0,1341517.0,1443918.0,1487720.0,1465800.0,1142317.0,787556.0,646406.0,570298.0,339196.0,19570555.0
22,서울 강북구 번동,666195.0,212468.0,47086.0,47912.0,548515.0,1172090.0,2056387.0,4590171.0,6400156.0,4252082.0,3464009.0,3429532.0,3697565.0,3809957.0,3908526.0,4364582.0,4985251.0,5460948.0,6308406.0,5088767.0,3627255.0,3187488.0,2833737.0,1754553.0,75913638.0
23,서울 강북구 삼각산동,26402.0,0.0,0.0,0.0,80425.0,95376.0,192042.0,439087.0,448309.0,271587.0,237980.0,209187.0,238743.0,258633.0,266985.0,320447.0,401474.0,378480.0,383585.0,311064.0,219615.0,188474.0,175393.0,120164.0,5263452.0
24,서울 강북구 삼양동,123887.0,52836.0,80.0,0.0,137308.0,175323.0,251337.0,629137.0,744901.0,472794.0,440859.0,451036.0,482563.0,510484.0,554742.0,695666.0,759896.0,763656.0,772413.0,681991.0,520344.0,455482.0,411279.0,229139.0,10317153.0
25,서울 강북구 송중동,173067.0,41654.0,12263.0,10238.0,176796.0,509248.0,933129.0,2209107.0,2895339.0,1873144.0,1537736.0,1497414.0,1550067.0,1627408.0,1648628.0,1930018.0,2227881.0,2294507.0,2521403.0,2093157.0,1472850.0,1309044.0,1187805.0,656027.0,32387930.0
26,서울 강북구 송천동,598502.0,184997.0,36652.0,31841.0,597328.0,1083944.0,1368446.0,2769628.0,4022782.0,3030478.0,2558549.0,2602929.0,2856485.0,3005384.0,3066810.0,3568407.0,4007499.0,4075191.0,4355979.0,3629720.0,2736046.0,2401861.0,2186001.0,1281754.0,56057213.0
27,서울 강북구 수유동,244449.0,48505.0,320.0,22703.0,343825.0,589379.0,977003.0,2320067.0,2959724.0,2041877.0,1680738.0,1620199.0,1760770.0,1806711.0,1817280.0,2047991.0,2262861.0,2337755.0,2485532.0,2100622.0,1508519.0,1319907.0,1134763.0,664606.0,34096106.0
28,서울 강북구 우이동,101257.0,21028.0,5050.0,4510.0,149339.0,162036.0,328554.0,738587.0,1066275.0,728695.0,661560.0,682858.0,746904.0,800158.0,839063.0,881827.0,953917.0,951501.0,946276.0,711054.0,536944.0,459949.0,380179.0,194486.0,13052007.0
29,서울 강북구 인수동,51398.0,8792.0,0.0,0.0,117874.0,126356.0,216748.0,492034.0,649303.0,405881.0,342192.0,342729.0,361270.0,392482.0,370922.0,425054.0,458837.0,464528.0,458339.0,374330.0,281563.0,234971.0,225523.0,114406.0,6915532.0
30,서울 강서구 가양동,157478.0,17716.0,11693.0,9103.0,149471.0,323956.0,705727.0,1889459.0,3192507.0,1958952.0,1340511.0,1347857.0,1477716.0,1614585.0,1556052.0,1793533.0,2071006.0,2363855.0,3011941.0,1891733.0,1392385.0,1318853.0,1144154.0,485166.0,31225409.0
31,서울 강서구 공항동,62590.0,9713.0,1008.0,730.0,147732.0,192422.0,371825.0,760176.0,1089135.0,725541.0,619368.0,629369.0,681617.0,737748.0,695546.0,749625.0,809539.0,900470.0,1051159.0,677765.0,553436.0,520642.0,448590.0,166633.0,12602379.0
32,서울 강서구 등촌동,146919.0,30166.0,14487.0,14375.0,157124.0,405754.0,710238.0,1938297.0,2584918.0,1724274.0,1271661.0,1285653.0,1444569.0,1522111.0,1541217.0,1862382.0,2259933.0,2157813.0,2578498.0,2023895.0,1411610.0,1352148.0,1210347.0,574153.0,30222542.0
33,서울 강서구 발산동,59662.0,15669.0,14469.0,11262.0,42694.0,145993.0,340716.0,930770.0,1150732.0,802161.0,698381.0,684447.0,734969.0,759778.0,794509.0,953464.0,1016191.0,970382.0,998090.0,776697.0,542228.0,518648.0,468556.0,190636.0,13621104.0
34,서울 강서구 방화동,101233.0,20789.0,6345.0,5955.0,171792.0,272593.0,577602.0,1418254.0,1700085.0,1039112.0,914045.0,929873.0,1009186.0,1095007.0,1052971.0,1200659.0,1352590.0,1456432.0,1653790.0,1138870.0,805739.0,699891.0,563214.0,242881.0,19428908.0
35,서울 강서구 염창동,32360.0,0.0,0.0,0.0,3840.0,110096.0,273437.0,682980.0,894944.0,599847.0,409437.0,388876.0,428462.0,466288.0,460312.0,554476.0,676661.0,732548.0,948934.0,690800.0,460538.0,457524.0,452597.0,180889.0,9905846.0
36,서울 강서구 우장산동,33048.0,5134.0,2827.0,2650.0,33105.0,54190.0,158197.0,359282.0,504694.0,361782.0,272399.0,258963.0,285497.0,298445.0,297598.0,343207.0,381988.0,384433.0,439898.0,315454.0,245691.0,214743.0,192588.0,78970.0,5524783.0
37,서울 강서구 화곡동,662157.0,74038.0,39351.0,41020.0,801825.0,1598250.0,3020850.0,7182699.0,9306440.0,5974226.0,4356080.0,4175862.0,4483145.0,4679533.0,4594588.0,5207426.0,5918858.0,6500606.0,7922364.0,6492451.0,4580576.0,4221675.0,3855558.0,2062308.0,97751886.0
38,서울 관악구 낙성대동,167336.0,30854.0,25854.0,26147.0,148197.0,415610.0,557681.0,929076.0,1569579.0,1297065.0,1011518.0,986387.0,1203526.0,1246635.0,1213226.0,1368504.0,1597053.0,1917926.0,2193524.0,1717548.0,1363928.0,1318397.0,1193228.0,726598.0,24225397.0
39,서울 관악구 난곡동,85102.0,384.0,0.0,0.0,135986.0,237070.0,344017.0,842515.0,924390.0,616633.0,463731.0,419656.0,465314.0,469910.0,470651.0,558940.0,657873.0,652078.0,743948.0,666265.0,469580.0,426485.0,373074.0,226998.0,10250600.0
40,서울 관악구 난향동,47249.0,288.0,0.0,8987.0,91926.0,129413.0,204683.0,542071.0,506507.0,343860.0,302433.0,273997.0,310758.0,307902.0,312175.0,391561.0,455296.0,448882.0,482914.0,412464.0,293474.0,249253.0,209114.0,118585.0,6443792.0
41,서울 관악구 남현동,39917.0,21248.0,13289.0,18088.0,64652.0,209231.0,235097.0,407905.0,558228.0,408834.0,280224.0,252410.0,269450.0,278443.0,251843.0,270101.0,291026.0,291276.0,309735.0,246069.0,186102.0,175973.0,163163.0,83659.0,5325963.0
42,서울 관악구 대학동,230446.0,2158.0,0.0,0.0,75498.0,424086.0,782921.0,1433177.0,2411860.0,2666291.0,2111753.0,1583934.0,2073471.0,2169784.0,1793430.0,2128593.0,2249230.0,2618613.0,2813876.0,2161694.0,1730760.0,1583522.0,1515021.0,979632.0,35539750.0
43,서울 관악구 미성동,107679.0,12124.0,16166.0,18867.0,182289.0,370345.0,527311.0,1123340.0,1584684.0,1076864.0,763075.0,705300.0,763399.0,767921.0,772264.0,902984.0,1095792.0,1115399.0,1321558.0,1118778.0,744967.0,672299.0,564369.0,317386.0,16645160.0
44,서울 관악구 보라매동,69171.0,16277.0,11932.0,10286.0,129693.0,357187.0,510250.0,1119856.0,1663035.0,1128085.0,896619.0,942759.0,1017587.0,1114713.0,1163272.0,1282446.0,1401943.0,1496251.0,1836538.0,1414078.0,1127106.0,953419.0,765743.0,345039.0,20773285.0
45,서울 관악구 삼성동,87309.0,2877.0,4746.0,2205.0,25672.0,220283.0,362052.0,925092.0,1039134.0,656241.0,606573.0,599004.0,645937.0,676392.0,691744.0,830497.0,1054313.0,955945.0,1015406.0,862550.0,646252.0,545585.0,481885.0,304022.0,13241716.0
